SaleID,SaleDate,BranchCode,ItemCode,Quantity,UnitSalePrice,UnitCost,Revenue,COGS,GrossProfit,GrossMarginPct
S00066,2026-07-13,TGI,RAM002,1,125000,95000,125000,95000,30000,24.0
S00067,2026-08-16,TGI,KB002,5,19000,12000,95000,60000,35000,36.84210526315789
S00068,2026-02-17,TGI,RAM002,3,125000,95000,375000,285000,90000,24.0
S00069,2026-07-14,TGI,HUB001,4,12500,7000,50000,28000,22000,44.0
S00070,2026-07-06,LLM,BAG001,5,13500,6500,67500,32500,35000,51.85185185185185
S00071,2026-02-20,TGI,RAM001,2,72000,55000,144000,110000,34000,23.61111111111111
S00072,2026-01-21,TGI,HUB001,1,12500,7000,12500,7000,5500,44.0
S00073,2026-07-16,LLM,PAD001,4,5000,2500,20000,10000,10000,50.0
S00074,2026-02-04,TGI,MOUSE001,4,8500,5000,34000,20000,14000,41.17647058823529
S00075,2026-08-08,TGI,BAG001,3,13500,6500,40500,19500,21000,51.85185185185185
S00076,2026-05-04,LLM,LAP002,1,1750000,1450000,1750000,1450000,300000,17.142857142857142
S00077,2026-08-29,TGI,HUB001,4,12500,7000,50000,28000,22000,44.0
S00078,2026-08-13,LLM,BAG001,1,13500,6500,13500,6500,7000,51.85185185185185
S00079,2026-03-08,LLM,HUB001,2,12500,7000,25000,14000,11000,44.0
S00080,2026-03-08,TGI,MOUSE002,2,5500,3000,11000,6000,5000,45.45454545454545
S00081,2026-05-07,TGI,SOFT002,1,110000,85000,110000,85000,25000,22.727272727272727
S00082,2026-04-14,TGI,FAN001,3,30000,18000,90000,54000,36000,40.0
S00083,2026-08-09,LLM,HEAD001,2,16000,9000,32000,18000,14000,43.75
S00084,2026-06-02,TGI,MOUSE002,1,5500,3000,5500,3000,2500,45.45454545454545
S00085,2026-02-05,TGI,RAM002,2,125000,95000,250000,190000,60000,24.0
S00086,2026-05-24,LLM,SOFT002,4,110000,85000,440000,340000,100000,22.727272727272727
S00087,2026-04-08,LLM,HUB001,3,12500,7000,37500,21000,16500,44.0
S00088,2026-06-02,LLM,MON001,1,450000,350000,450000,350000,100000,22.22222222222222
S00089,2026-05-30,TGI,MOUSE001,4,8500,5000,34000,20000,14000,41.17647058823529
S00090,2026-06-19,TGI,BAG002,4,19000,10000,76000,40000,36000,47.368421052631575
S00091,2026-04-11,TGI,SSD003,1,185000,145000,185000,145000,40000,21.62162162162162
S00092,2026-04-13,LLM,MOUSE001,4,8500,5000,34000,20000,14000,41.17647058823529
S00093,2026-04-04,TGI,RAM001,1,72000,55000,72000,55000,17000,23.61111111111111
S00094,2026-04-24,TGI,BAG002,1,19000,10000,19000,10000,9000,47.368421052631575
S00095,2026-04-30,LLM,CAM001,2,22000,12000,44000,24000,20000,45.45454545454545
S00096,2026-08-17,LLM,MOUSE002,1,5500,3000,5500,3000,2500,45.45454545454545
S00097,2026-05-20,LLM,KB001,1,12000,7000,12000,7000,5000,41.66666666666667
S00098,2026-08-27,LLM,PAD001,1,5000,2500,5000,2500,2500,50.0
S00099,2026-08-20,TGI,RAM001,1,72000,55000,72000,55000,17000,23.61111111111111
S00100,2026-08-19,TGI,CAM001,5,22000,12000,110000,60000,50000,45.45454545454545
S00101,2026-07-14,LLM,BAG002,5,19000,10000,95000,50000,45000,47.368421052631575
S00102,2026-03-27,LLM,MOUSE002,5,5500,3000,27500,15000,12500,45.45454545454545
S00103,2026-02-16,LLM,SW001,4,80000,55000,320000,220000,100000,31.25
S00104,2026-07-16,TGI,MOUSE002,5,5500,3000,27500,15000,12500,45.45454545454545
S00105,2026-02-08,LLM,CAM001,5,22000,12000,110000,60000,50000,45.45454545454545
S00106,2026-01-23,LLM,LAP003,1,3300000,2800000,3300000,2800000,500000,15.151515151515152
S00107,2026-04-10,LLM,HEAD001,2,16000,9000,32000,18000,14000,43.75
S00108,2026-05-27,TGI,SW001,5,80000,55000,400000,275000,125000,31.25
S00109,2026-08-25,LLM,MOUSE002,2,5500,3000,11000,6000,5000,45.45454545454545
S00110,2026-08-29,TGI,RAM001,2,72000,55000,144000,110000,34000,23.61111111111111
S00111,2026-06-12,TGI,CAM001,3,22000,12000,66000,36000,30000,45.45454545454545
S00112,2026-06-20,TGI,HEAD001,1,16000,9000,16000,9000,7000,43.75
S00113,2026-06-17,TGI,KB002,5,19000,12000,95000,60000,35000,36.84210526315789
S00114,2026-01-12,LLM,MOUSE001,3,8500,5000,25500,15000,10500,41.17647058823529
S00115,2026-08-30,TGI,MOUSE002,5,5500,3000,27500,15000,12500,45.45454545454545
S00116,2026-06-03,TGI,BAG002,3,19000,10000,57000,30000,27000,47.368421052631575
S00117,2026-04-15,TGI,FAN001,2,30000,18000,60000,36000,24000,40.0
S00118,2026-08-25,TGI,MOUSE001,1,8500,5000,8500,5000,3500,41.17647058823529
S00119,2026-01-21,TGI,PAD001,5,5000,2500,25000,12500,12500,50.0
S00120,2026-07-20,TGI,HUB001,3,12500,7000,37500,21000,16500,44.0
S00121,2026-08-28,LLM,BAG001,5,13500,6500,67500,32500,35000,51.85185185185185
S00122,2026-01-12,LLM,SSD002,1,105000,80000,105000,80000,25000,23.809523809523807
S00123,2026-04-09,LLM,SOFT003,4,125000,90000,500000,360000,140000,28.000000000000004
S00124,2026-04-22,LLM,BAG001,3,13500,6500,40500,19500,21000,51.85185185185185
S00125,2026-06-26,LLM,DESK001,1,1500000,1200000,1500000,1200000,300000,20.0
S00126,2026-05-27,LLM,BAG002,4,19000,10000,76000,40000,36000,47.368421052631575
S00127,2026-03-24,TGI,MOUSE002,5,5500,3000,27500,15000,12500,45.45454545454545
S00128,2026-04-09,TGI,PAD001,5,5000,2500,25000,12500,12500,50.0
S00129,2026-08-16,TGI,HDD001,3,110000,85000,330000,255000,75000,22.727272727272727
S00130,2026-04-19,TGI,MON001,1,450000,350000,450000,350000,100000,22.22222222222222
S00131,2026-05-22,TGI,CAM001,5,22000,12000,110000,60000,50000,45.45454545454545
S00132,2026-08-23,TGI,DESK001,1,1500000,1200000,1500000,1200000,300000,20.0
S00133,2026-01-09,TGI,RAM001,1,72000,55000,72000,55000,17000,23.61111111111111
S00134,2026-08-18,LLM,FAN001,2,30000,18000,60000,36000,24000,40.0
S00135,2026-05-17,TGI,FAN001,1,30000,18000,30000,18000,12000,40.0
S00136,2026-01-29,LLM,MON002,1,650000,500000,650000,500000,150000,23.076923076923077
S00137,2026-08-28,TGI,SOFT002,1,110000,85000,110000,85000,25000,22.727272727272727
S00138,2026-03-12,TGI,SSD002,2,105000,80000,210000,160000,50000,23.809523809523807
S00139,2026-06-08,TGI,HEAD001,3,16000,9000,48000,27000,21000,43.75
S00140,2026-07-21,TGI,MOUSE002,3,5500,3000,16500,9000,7500,45.45454545454545
S00141,2026-06-22,LLM,CAM001,2,22000,12000,44000,24000,20000,45.45454545454545
S00142,2026-05-28,LLM,MOUSE002,1,5500,3000,5500,3000,2500,45.45454545454545
S00143,2026-06-16,TGI,HUB001,1,12500,7000,12500,7000,5500,44.0
S00144,2026-07-10,TGI,MOUSE002,1,5500,3000,5500,3000,2500,45.45454545454545
S00145,2026-06-15,LLM,ROUT001,5,65000,45000,325000,225000,100000,30.76923076923077
S00146,2026-06-09,TGI,BAG002,5,19000,10000,95000,50000,45000,47.368421052631575
S00147,2026-07-22,TGI,BAG001,3,13500,6500,40500,19500,21000,51.85185185185185
S00148,2026-01-20,LLM,KB001,1,12000,7000,12000,7000,5000,41.66666666666667
S00149,2026-01-14,LLM,MON002,1,650000,500000,650000,500000,150000,23.076923076923077
S00150,2026-02-23,TGI,SOFT003,1,125000,90000,125000,90000,35000,28.000000000000004
S00151,2026-07-22,LLM,LAP003,1,3300000,2800000,3300000,2800000,500000,15.151515151515152
S00152,2026-07-19,LLM,MOUSE002,5,5500,3000,27500,15000,12500,45.45454545454545
S00153,2026-01-08,LLM,RAM002,2,125000,95000,250000,190000,60000,24.0
S00154,2026-03-01,TGI,MOUSE002,1,5500,3000,5500,3000,2500,45.45454545454545
S00155,2026-08-16,TGI,FAN001,1,30000,18000,30000,18000,12000,40.0
S00156,2026-07-20,LLM,ROUT001,4,65000,45000,260000,180000,80000,30.76923076923077
S00157,2026-08-28,LLM,LAP001,1,2100000,1800000,2100000,1800000,300000,14.285714285714285
S00158,2026-05-14,TGI,SSD001,3,75000,55000,225000,165000,60000,26.666666666666668
S00159,2026-06-02,LLM,LAP002,1,1750000,1450000,1750000,1450000,300000,17.142857142857142
S00160,2026-08-30,TGI,KB001,1,12000,7000,12000,7000,5000,41.66666666666667
S00161,2026-04-28,TGI,MON002,1,650000,500000,650000,500000,150000,23.076923076923077
S00162,2026-06-26,LLM,SSD002,1,105000,80000,105000,80000,25000,23.809523809523807
S00163,2026-03-27,TGI,HUB001,1,12500,7000,12500,7000,5500,44.0
S00164,2026-04-08,LLM,KB001,5,12000,7000,60000,35000,25000,41.66666666666667
S00165,2026-08-28,LLM,FAN001,1,30000,18000,30000,18000,12000,40.0
S00166,2026-04-05,TGI,LAP001,1,2100000,1800000,2100000,1800000,300000,14.285714285714285
S00167,2026-01-23,TGI,LAP003,1,3300000,2800000,3300000,2800000,500000,15.151515151515152
S00168,2026-07-21,LLM,KB002,1,19000,12000,19000,12000,7000,36.84210526315789
S00169,2026-04-20,LLM,BAG001,4,13500,6500,54000,26000,28000,51.85185185185185
S00170,2026-07-09,TGI,SSD003,2,185000,145000,370000,290000,80000,21.62162162162162
S00171,2026-04-02,LLM,MOUSE001,2,8500,5000,17000,10000,7000,41.17647058823529
S00172,2026-06-11,TGI,LAN001,2,9000,5000,18000,10000,8000,44.44444444444444
S00173,2026-01-12,TGI,DESK001,1,1500000,1200000,1500000,1200000,300000,20.0
S00174,2026-08-10,TGI,HEAD001,5,16000,9000,80000,45000,35000,43.75
S00175,2026-03-26,TGI,ROUT001,4,65000,45000,260000,180000,80000,30.76923076923077
S00176,2026-08-14,LLM,HUB001,3,12500,7000,37500,21000,16500,44.0
S00177,2026-06-28,TGI,BAG002,1,19000,10000,19000,10000,9000,47.368421052631575
S00178,2026-08-04,TGI,BAG001,2,13500,6500,27000,13000,14000,51.85185185185185
S00179,2026-02-20,TGI,HDD001,2,110000,85000,220000,170000,50000,22.727272727272727
S00180,2026-07-03,TGI,SSD003,1,185000,145000,185000,145000,40000,21.62162162162162
S00181,2026-02-03,TGI,BAG002,3,19000,10000,57000,30000,27000,47.368421052631575
S00182,2026-02-12,LLM,MOUSE002,1,5500,3000,5500,3000,2500,45.45454545454545
S00183,2026-05-31,LLM,KB001,4,12000,7000,48000,28000,20000,41.66666666666667
S00184,2026-04-14,TGI,HEAD001,3,16000,9000,48000,27000,21000,43.75
S00185,2026-06-04,TGI,KB001,2,12000,7000,24000,14000,10000,41.66666666666667
S00186,2026-02-20,LLM,KB001,4,12000,7000,48000,28000,20000,41.66666666666667
S00187,2026-06-19,LLM,MOUSE002,1,5500,3000,5500,3000,2500,45.45454545454545
S00188,2026-05-13,TGI,KB002,2,19000,12000,38000,24000,14000,36.84210526315789
S00189,2026-06-26,TGI,FAN001,1,30000,18000,30000,18000,12000,40.0
S00190,2026-01-26,TGI,RAM001,3,72000,55000,216000,165000,51000,23.61111111111111
S00191,2026-02-25,TGI,LAP001,1,2100000,1800000,2100000,1800000,300000,14.285714285714285
S00192,2026-03-02,LLM,SOFT001,1,55600,30000,55600,30000,25600,46.043165467625904
S00193,2026-04-09,LLM,KB002,2,19000,12000,38000,24000,14000,36.84210526315789
S00194,2026-01-28,LLM,CAM001,5,22000,12000,110000,60000,50000,45.45454545454545
S00195,2026-06-03,LLM,BAG001,3,13500,6500,40500,19500,21000,51.85185185185185
S00196,2026-04-21,TGI,SSD002,1,105000,80000,105000,80000,25000,23.809523809523807
S00197,2026-01-18,LLM,PAD001,1,5000,2500,5000,2500,2500,50.0
S00198,2026-04-29,LLM,MOUSE001,1,8500,5000,8500,5000,3500,41.17647058823529
S00199,2026-01-17,LLM,BAG002,4,19000,10000,76000,40000,36000,47.368421052631575
S00200,2026-01-25,TGI,HUB001,4,12500,7000,50000,28000,22000,44.0
S00201,2026-05-18,TGI,PAD001,4,5000,2500,20000,10000,10000,50.0
S00202,2026-04-21,TGI,HUB001,1,12500,7000,12500,7000,5500,44.0
S00203,2026-08-24,LLM,BAG001,4,13500,6500,54000,26000,28000,51.85185185185185
S00204,2026-01-26,TGI,KB002,3,19000,12000,57000,36000,21000,36.84210526315789
S00205,2026-04-19,LLM,LAP002,1,1750000,1450000,1750000,1450000,300000,17.142857142857142
S00206,2026-06-30,LLM,KB001,4,12000,7000,48000,28000,20000,41.66666666666667
S00207,2026-04-04,LLM,BAG001,1,13500,6500,13500,6500,7000,51.85185185185185
S00208,2026-05-11,TGI,HEAD001,4,16000,9000,64000,36000,28000,43.75
S00209,2026-06-01,LLM,HEAD001,4,16000,9000,64000,36000,28000,43.75
S00210,2026-03-16,TGI,ROUT002,1,105000,75000,105000,75000,30000,28.57142857142857
S00211,2026-04-04,LLM,PSU001,1,85000,65000,85000,65000,20000,23.52941176470588
S00212,2026-07-13,TGI,HUB001,3,12500,7000,37500,21000,16500,44.0
S00213,2026-06-22,TGI,KB002,4,19000,12000,76000,48000,28000,36.84210526315789
S00214,2026-01-19,LLM,SSD002,3,105000,80000,315000,240000,75000,23.809523809523807
S00215,2026-01-01,TGI,BAG001,5,13500,6500,67500,32500,35000,51.85185185185185
S00216,2026-05-06,LLM,CAM001,3,22000,12000,66000,36000,30000,45.45454545454545
S00217,2026-01-03,LLM,BAG002,2,19000,10000,38000,20000,18000,47.368421052631575
S00218,2026-01-05,LLM,MON002,1,650000,500000,650000,500000,150000,23.076923076923077
S00219,2026-01-13,TGI,MOUSE002,5,5500,3000,27500,15000,12500,45.45454545454545
S00220,2026-03-14,TGI,HUB001,3,12500,7000,37500,21000,16500,44.0
S00221,2026-04-04,LLM,SW001,4,80000,55000,320000,220000,100000,31.25
S00222,2026-08-24,LLM,LAP002,1,1750000,1450000,1750000,1450000,300000,17.142857142857142
S00223,2026-07-22,TGI,KB001,3,12000,7000,36000,21000,15000,41.66666666666667
S00224,2026-01-01,TGI,HUB001,5,12500,7000,62500,35000,27500,44.0
S00225,2026-03-13,TGI,SSD002,2,105000,80000,210000,160000,50000,23.809523809523807
S00226,2026-02-04,LLM,ROUT001,3,65000,45000,195000,135000,60000,30.76923076923077
S00227,2026-03-19,TGI,BAG002,5,19000,10000,95000,50000,45000,47.368421052631575
S00228,2026-02-11,LLM,ROUT002,3,105000,75000,315000,225000,90000,28.57142857142857
S00229,2026-05-05,LLM,SSD002,3,105000,80000,315000,240000,75000,23.809523809523807
S00230,2026-08-13,LLM,SOFT003,2,125000,90000,250000,180000,70000,28.000000000000004
S00231,2026-07-25,LLM,KB002,3,19000,12000,57000,36000,21000,36.84210526315789
S00232,2026-07-17,TGI,RAM001,2,72000,55000,144000,110000,34000,23.61111111111111
S00233,2026-07-11,LLM,SOFT002,1,110000,85000,110000,85000,25000,22.727272727272727
S00234,2026-08-10,TGI,HDD001,2,110000,85000,220000,170000,50000,22.727272727272727
S00235,2026-07-04,LLM,BAG001,1,13500,6500,13500,6500,7000,51.85185185185185
S00236,2026-07-15,TGI,SSD003,3,185000,145000,555000,435000,120000,21.62162162162162
S00237,2026-03-15,LLM,ROUT002,4,105000,75000,420000,300000,120000,28.57142857142857
S00238,2026-04-19,LLM,HEAD001,5,16000,9000,80000,45000,35000,43.75
S00239,2026-05-16,LLM,KB002,4,19000,12000,76000,48000,28000,36.84210526315789
S00240,2026-06-22,TGI,RAM002,3,125000,95000,375000,285000,90000,24.0
S00241,2026-06-13,TGI,BAG001,5,13500,6500,67500,32500,35000,51.85185185185185
S00242,2026-05-28,LLM,LAP001,1,2100000,1800000,2100000,1800000,300000,14.285714285714285
S00243,2026-02-07,LLM,HEAD001,2,16000,9000,32000,18000,14000,43.75
S00244,2026-02-15,TGI,LAP001,1,2100000,1800000,2100000,1800000,300000,14.285714285714285
S00245,2026-04-14,TGI,HUB001,4,12500,7000,50000,28000,22000,44.0
S00246,2026-06-20,TGI,HUB001,4,12500,7000,50000,28000,22000,44.0
S00247,2026-05-13,TGI,FAN001,2,30000,18000,60000,36000,24000,40.0
S00248,2026-08-29,TGI,HUB001,3,12500,7000,37500,21000,16500,44.0
S00249,2026-01-29,LLM,LAN001,3,9000,5000,27000,15000,12000,44.44444444444444
S00250,2026-05-31,LLM,KB002,2,19000,12000,38000,24000,14000,36.84210526315789
S00251,2026-04-20,LLM,LAN001,1,9000,5000,9000,5000,4000,44.44444444444444
S00252,2026-03-04,LLM,KB002,5,19000,12000,95000,60000,35000,36.84210526315789
S00253,2026-06-24,LLM,BAG002,4,19000,10000,76000,40000,36000,47.368421052631575
S00254,2026-02-26,LLM,BAG002,4,19000,10000,76000,40000,36000,47.368421052631575
S00255,2026-01-25,TGI,LAP001,1,2100000,1800000,2100000,1800000,300000,14.285714285714285
S00256,2026-05-15,LLM,SSD002,1,105000,80000,105000,80000,25000,23.809523809523807
S00257,2026-05-08,LLM,CAM001,3,22000,12000,66000,36000,30000,45.45454545454545
S00258,2026-07-01,LLM,PAD001,5,5000,2500,25000,12500,12500,50.0
S00259,2026-03-29,LLM,HDD001,3,110000,85000,330000,255000,75000,22.727272727272727
S00260,2026-05-30,LLM,KB002,1,19000,12000,19000,12000,7000,36.84210526315789
S00261,2026-07-18,TGI,CAM001,4,22000,12000,88000,48000,40000,45.45454545454545
S00262,2026-04-28,TGI,PAD001,1,5000,2500,5000,2500,2500,50.0
S00263,2026-03-12,TGI,MOUSE002,3,5500,3000,16500,9000,7500,45.45454545454545
S00264,2026-05-03,TGI,BAG002,5,19000,10000,95000,50000,45000,47.368421052631575
S00265,2026-02-18,LLM,CAM001,3,22000,12000,66000,36000,30000,45.45454545454545
S00266,2026-01-18,LLM,SSD001,2,75000,55000,150000,110000,40000,26.666666666666668
S00267,2026-07-13,TGI,CAM001,3,22000,12000,66000,36000,30000,45.45454545454545
S00268,2026-03-04,LLM,BAG002,3,19000,10000,57000,30000,27000,47.368421052631575
S00269,2026-02-01,LLM,SOFT003,2,125000,90000,250000,180000,70000,28.000000000000004
S00270,2026-05-04,TGI,MON001,1,450000,350000,450000,350000,100000,22.22222222222222
S00271,2026-02-01,TGI,RAM002,1,125000,95000,125000,95000,30000,24.0
S00272,2026-02-26,LLM,KB002,3,19000,12000,57000,36000,21000,36.84210526315789
S00273,2026-03-13,LLM,HDD001,3,110000,85000,330000,255000,75000,22.727272727272727
S00274,2026-02-20,TGI,KB002,2,19000,12000,38000,24000,14000,36.84210526315789
S00275,2026-02-04,LLM,SSD001,2,75000,55000,150000,110000,40000,26.666666666666668
S00276,2026-08-23,TGI,LAP003,1,3300000,2800000,3300000,2800000,500000,15.151515151515152
S00277,2026-07-01,LLM,BAG001,2,13500,6500,27000,13000,14000,51.85185185185185
S00278,2026-01-07,TGI,SSD002,1,105000,80000,105000,80000,25000,23.809523809523807
S00279,2026-05-27,LLM,SOFT001,5,55600,30000,278000,150000,128000,46.043165467625904
S00280,2026-07-07,TGI,LAP001,1,2100000,1800000,2100000,1800000,300000,14.285714285714285
S00281,2026-07-16,LLM,BAG001,2,13500,6500,27000,13000,14000,51.85185185185185
S00282,2026-07-14,TGI,BAG001,5,13500,6500,67500,32500,35000,51.85185185185185
S00283,2026-02-06,LLM,PAD001,2,5000,2500,10000,5000,5000,50.0
S00284,2026-02-22,LLM,LAP003,1,3300000,2800000,3300000,2800000,500000,15.151515151515152
S00285,2026-03-27,TGI,MOUSE002,3,5500,3000,16500,9000,7500,45.45454545454545
S00286,2026-08-26,TGI,KB001,2,12000,7000,24000,14000,10000,41.66666666666667
S00287,2026-04-25,TGI,SSD002,2,105000,80000,210000,160000,50000,23.809523809523807
S00288,2026-08-25,LLM,KB002,3,19000,12000,57000,36000,21000,36.84210526315789
S00289,2026-08-26,TGI,PAD001,5,5000,2500,25000,12500,12500,50.0
S00290,2026-04-08,LLM,MOUSE001,2,8500,5000,17000,10000,7000,41.17647058823529
S00291,2026-05-08,LLM,HUB001,2,12500,7000,25000,14000,11000,44.0
S00292,2026-01-17,LLM,PAD001,4,5000,2500,20000,10000,10000,50.0
S00293,2026-03-28,LLM,KB001,3,12000,7000,36000,21000,15000,41.66666666666667
S00294,2026-02-26,LLM,SSD002,2,105000,80000,210000,160000,50000,23.809523809523807
S00295,2026-01-12,TGI,PAD001,2,5000,2500,10000,5000,5000,50.0
S00296,2026-06-22,TGI,HEAD001,2,16000,9000,32000,18000,14000,43.75
S00297,2026-02-15,LLM,KB001,3,12000,7000,36000,21000,15000,41.66666666666667
S00298,2026-07-12,LLM,HUB001,2,12500,7000,25000,14000,11000,44.0
S00299,2026-01-29,LLM,BAG001,4,13500,6500,54000,26000,28000,51.85185185185185
S00300,2026-04-23,TGI,HUB001,2,12500,7000,25000,14000,11000,44.0
S00301,2026-02-24,TGI,LAP002,1,1750000,1450000,1750000,1450000,300000,17.142857142857142
S00302,2026-03-10,TGI,BAG001,4,13500,6500,54000,26000,28000,51.85185185185185
S00303,2026-07-30,TGI,MOUSE001,3,8500,5000,25500,15000,10500,41.17647058823529
S00304,2026-04-19,LLM,RAM001,2,72000,55000,144000,110000,34000,23.61111111111111
S00305,2026-03-14,LLM,SSD001,1,75000,55000,75000,55000,20000,26.666666666666668
S00306,2026-03-02,TGI,CAM001,3,22000,12000,66000,36000,30000,45.45454545454545
S00307,2026-05-11,LLM,MOUSE001,3,8500,5000,25500,15000,10500,41.17647058823529
S00308,2026-08-10,LLM,MOUSE002,5,5500,3000,27500,15000,12500,45.45454545454545
S00309,2026-02-13,TGI,DESK001,1,1500000,1200000,1500000,1200000,300000,20.0
S00310,2026-01-17,TGI,CAM001,4,22000,12000,88000,48000,40000,45.45454545454545
S00311,2026-03-03,TGI,SSD003,3,185000,145000,555000,435000,120000,21.62162162162162
S00312,2026-05-29,TGI,SSD001,2,75000,55000,150000,110000,40000,26.666666666666668
