PurchaseID,PurchaseDate,BranchCode,SupplierCode,ItemCode,Quantity,UnitBuyPrice,TotalCost
PUR00072,2025-10-08,LLM,SUP001,BAG001,22,6705.62,147523.64
PUR00073,2026-02-05,TGI,SUP003,CAM001,20,12593.1,251862.0
PUR00074,2025-09-25,TGI,SUP005,ROUT001,35,46815.96,1638558.6
PUR00075,2025-11-22,LLM,SUP006,SOFT001,7,29934.26,209539.82
PUR00076,2025-12-01,TGI,SUP003,FAN001,7,19075.8,133530.6
PUR00077,2026-03-02,LLM,SUP006,SOFT002,15,86224.75,1293371.25
PUR00078,2026-05-22,TGI,SUP003,HUB001,40,6968.23,278729.2
PUR00079,2026-03-30,TGI,SUP007,MON002,2,495944.01,991888.02
PUR00080,2026-02-11,LLM,SUP001,MOUSE001,25,4935.84,123396.0
PUR00081,2025-10-02,LLM,SUP003,HUB001,19,7110.33,135096.27
PUR00082,2025-11-27,LLM,SUP003,FAN001,7,18815.39,131707.73
PUR00083,2026-04-19,TGI,SUP007,LAP003,4,2944065.52,11776262.08
PUR00084,2026-04-15,LLM,SUP001,MOUSE001,23,5073.87,116699.01
PUR00085,2026-03-30,LLM,SUP001,MOUSE002,30,3079.23,92376.9
PUR00086,2025-10-31,TGI,SUP002,SSD001,9,55799.7,502197.3
PUR00087,2026-01-07,TGI,SUP001,RAM001,7,56056.81,392397.67
PUR00088,2025-09-07,LLM,SUP001,MOUSE002,8,3013.02,24104.16
PUR00089,2026-07-24,TGI,SUP002,KB002,16,11497.15,183954.4
PUR00090,2026-06-21,TGI,SUP001,BAG001,27,6869.68,185481.36
PUR00091,2026-02-25,LLM,SUP007,DESK001,1,1233305.57,1233305.57
PUR00092,2025-09-08,TGI,SUP003,CAM001,37,11445.81,423494.97
PUR00093,2026-02-01,LLM,SUP003,PSU001,4,64690.1,258760.4
PUR00094,2026-08-04,TGI,SUP007,LAP001,5,1717766.31,8588831.55
PUR00095,2025-12-26,TGI,SUP007,LAP002,2,1559636.88,3119273.76
PUR00096,2026-01-28,TGI,SUP004,HDD001,5,83251.18,416255.9
PUR00097,2026-07-31,TGI,SUP002,SSD001,11,57034.78,627382.58
PUR00098,2026-04-04,TGI,SUP001,MOUSE001,38,5057.38,192180.44
PUR00099,2026-08-27,TGI,SUP001,BAG001,25,6545.57,163639.25
PUR00100,2026-03-11,TGI,SUP007,MON001,1,369982.46,369982.46
PUR00101,2025-12-12,TGI,SUP001,RAM001,11,58983.34,648816.74
PUR00102,2026-06-12,TGI,SUP007,LAP002,1,1514949.2,1514949.2
PUR00103,2026-06-21,TGI,SUP001,BAG001,8,6212.84,49702.72
PUR00104,2026-07-18,LLM,SUP003,HEAD001,8,8666.18,69329.44
PUR00105,2026-08-29,LLM,SUP007,MON001,5,367166.53,1835832.65
PUR00106,2026-08-09,TGI,SUP001,BAG002,28,10306.86,288592.08
PUR00107,2026-02-12,TGI,SUP003,HUB001,40,6910.06,276402.4
PUR00108,2026-04-04,TGI,SUP001,MOUSE002,35,3136.27,109769.45
PUR00109,2025-12-23,TGI,SUP004,HDD001,7,80812.61,565688.27
PUR00110,2026-01-14,TGI,SUP003,HEAD001,6,8635.3,51811.8
PUR00111,2025-09-13,TGI,SUP005,ROUT002,24,77905.52,1869732.48
PUR00112,2025-09-14,TGI,SUP001,BAG001,10,6383.57,63835.7
PUR00113,2026-07-17,LLM,SUP007,LAP001,2,1742553.11,3485106.22
PUR00114,2026-04-01,TGI,SUP007,LAP001,5,1807462.04,9037310.2
PUR00115,2025-12-09,TGI,SUP007,LAP002,3,1446827.66,4340482.98
PUR00116,2026-07-10,TGI,SUP003,HEAD001,30,9342.72,280281.6
PUR00117,2026-08-06,TGI,SUP005,ROUT002,40,79508.84,3180353.6
PUR00118,2026-02-07,TGI,SUP007,MON002,4,525500.32,2102001.28
PUR00119,2025-09-17,LLM,SUP001,MOUSE002,30,2907.45,87223.5
PUR00120,2025-09-05,TGI,SUP007,MON002,4,537440.75,2149763.0
PUR00121,2026-05-30,TGI,SUP003,FAN001,6,17678.78,106072.68
PUR00122,2026-07-18,TGI,SUP007,MON002,3,533151.78,1599455.34
PUR00123,2026-02-20,LLM,SUP003,CAM001,30,12832.45,384973.5
PUR00124,2025-12-25,LLM,SUP003,HEAD001,27,9107.31,245897.37
PUR00125,2026-04-30,LLM,SUP007,LAP002,5,1430746.05,7153730.25
PUR00126,2026-06-06,TGI,SUP007,DESK001,5,1251168.93,6255844.65
PUR00127,2026-03-25,LLM,SUP003,FAN001,7,18410.61,128874.27
PUR00128,2026-04-29,TGI,SUP007,LAP001,5,1931619.22,9658096.1
PUR00129,2025-11-04,LLM,SUP007,MON002,5,537498.37,2687491.85
PUR00130,2026-01-25,LLM,SUP007,DESK001,3,1169862.72,3509588.16
PUR00131,2026-01-18,TGI,SUP007,DESK001,4,1183345.03,4733380.12
PUR00132,2026-08-04,TGI,SUP001,MOUSE001,31,4799.13,148773.03
PUR00133,2026-04-18,LLM,SUP003,PSU001,13,67973.72,883658.36
PUR00134,2025-10-18,LLM,SUP001,BAG001,29,6541.75,189710.75
PUR00135,2026-05-29,TGI,SUP001,RAM002,3,98559.97,295679.91
PUR00136,2026-08-04,LLM,SUP001,RAM001,4,57879.82,231519.28
PUR00137,2026-08-07,TGI,SUP002,SSD002,11,78706.46,865771.06
PUR00138,2025-10-08,LLM,SUP001,BAG002,36,10552.12,379876.32
PUR00139,2025-10-06,TGI,SUP001,MOUSE002,17,3131.55,53236.35
PUR00140,2025-12-21,LLM,SUP007,LAP003,4,2868176.04,11472704.16
PUR00141,2026-08-29,TGI,SUP001,BAG002,5,9523.56,47617.8
PUR00142,2025-09-17,TGI,SUP003,CAM001,6,11504.48,69026.88
PUR00143,2025-09-22,TGI,SUP001,RAM002,13,94933.45,1234134.85
PUR00144,2025-11-01,TGI,SUP007,LAP002,2,1486605.07,2973210.14
PUR00145,2025-11-01,LLM,SUP001,BAG001,7,6712.74,46989.18
PUR00146,2026-01-07,TGI,SUP001,MOUSE002,9,3095.72,27861.48
PUR00147,2026-06-29,TGI,SUP005,ROUT001,15,44858.5,672877.5
PUR00148,2026-07-01,LLM,SUP007,LAP002,3,1465960.27,4397880.81
PUR00149,2026-01-27,TGI,SUP007,DESK001,2,1244170.65,2488341.3
PUR00150,2025-12-02,TGI,SUP003,HEAD001,30,8648.94,259468.2
PUR00151,2026-01-06,TGI,SUP001,BAG002,33,9610.63,317150.79
PUR00152,2025-09-11,TGI,SUP003,FAN001,6,17592.59,105555.54
PUR00153,2025-11-25,TGI,SUP002,KB002,38,12115.15,460375.7
PUR00154,2025-11-28,TGI,SUP005,ROUT002,17,79926.37,1358748.29
PUR00155,2026-04-17,TGI,SUP003,HUB001,16,7156.67,114506.72
PUR00156,2026-06-14,TGI,SUP002,KB001,27,6915.23,186711.21
PUR00157,2026-05-22,TGI,SUP006,SOFT002,25,81305.19,2032629.75
PUR00158,2026-02-27,LLM,SUP004,LAN001,21,4887.01,102627.21
PUR00159,2026-04-09,TGI,SUP006,SOFT003,6,92749.51,556497.06
PUR00160,2026-06-20,TGI,SUP007,MON001,3,336702.4,1010107.2
PUR00161,2026-03-03,TGI,SUP001,RAM002,6,99604.69,597628.14
PUR00162,2026-01-10,LLM,SUP003,HEAD001,31,9639.92,298837.52
PUR00163,2026-04-15,TGI,SUP002,SSD002,15,81906.93,1228603.95
PUR00164,2026-04-08,TGI,SUP002,KB002,17,11532.11,196045.87
PUR00165,2026-08-03,LLM,SUP001,RAM002,15,93016.18,1395242.7
PUR00166,2025-10-14,LLM,SUP003,PSU001,14,69416.25,971827.5
PUR00167,2026-08-12,LLM,SUP002,KB002,38,12686.18,482074.84
PUR00168,2026-02-20,TGI,SUP001,MOUSE002,36,3111.73,112022.28
PUR00169,2026-06-18,TGI,SUP001,BAG002,34,9630.32,327430.88
PUR00170,2025-09-25,TGI,SUP006,SOFT001,16,29723.46,475575.36
PUR00171,2026-04-27,LLM,SUP002,KB001,16,6911.47,110583.52
PUR00172,2026-01-29,LLM,SUP007,LAP001,3,1873136.3,5619408.9
PUR00173,2026-01-19,LLM,SUP003,CAM001,8,11822.2,94577.6
PUR00174,2026-06-17,LLM,SUP001,BAG002,16,9552.18,152834.88
PUR00175,2026-04-13,TGI,SUP007,LAP001,4,1889848.03,7559392.12
PUR00176,2026-05-24,TGI,SUP006,SOFT001,23,30637.77,704668.71
PUR00177,2026-02-06,TGI,SUP002,KB001,37,7412.15,274249.55
PUR00178,2026-01-26,TGI,SUP007,MON001,3,346094.62,1038283.86
PUR00179,2025-10-13,LLM,SUP006,SOFT003,19,96928.49,1841641.31
PUR00180,2025-10-24,TGI,SUP004,HDD001,13,87591.86,1138694.18
PUR00181,2026-01-19,TGI,SUP001,MOUSE002,18,2868.76,51637.68
PUR00182,2025-10-12,TGI,SUP001,BAG001,28,6955.87,194764.36
PUR00183,2026-05-27,TGI,SUP001,BAG001,34,6970.19,236986.46
PUR00184,2026-02-20,LLM,SUP001,RAM002,3,97906.61,293719.83
PUR00185,2026-04-06,LLM,SUP003,PSU001,8,65779.29,526234.32
PUR00186,2025-12-17,TGI,SUP001,MOUSE002,19,3088.05,58672.95
PUR00187,2026-02-19,LLM,SUP002,SSD001,9,56576.39,509187.51
PUR00188,2026-04-08,LLM,SUP003,FAN001,5,17266.5,86332.5
PUR00189,2026-08-09,TGI,SUP004,HDD001,11,82585.13,908436.43
PUR00190,2026-06-06,TGI,SUP002,SSD002,6,77861.93,467171.58
PUR00191,2026-08-04,TGI,SUP005,SW001,32,57480.67,1839381.44
PUR00192,2026-06-16,TGI,SUP007,LAP003,3,2903595.73,8710787.19
PUR00193,2026-08-29,TGI,SUP006,SOFT002,21,82221.66,1726654.86
PUR00194,2025-12-10,TGI,SUP005,ROUT001,5,43898.32,219491.6
PUR00195,2026-01-04,TGI,SUP003,PSU001,12,68279.07,819348.84
PUR00196,2026-05-02,TGI,SUP007,MON001,1,372528.73,372528.73
PUR00197,2026-03-10,LLM,SUP002,SSD001,11,53335.99,586695.89
PUR00198,2026-06-03,LLM,SUP002,SSD001,5,59087.49,295437.45
PUR00199,2025-09-07,LLM,SUP003,FAN001,3,18666.3,55998.9
PUR00200,2026-07-28,TGI,SUP007,DESK001,1,1214174.21,1214174.21
PUR00201,2026-04-18,LLM,SUP007,LAP003,3,2907215.17,8721645.51
PUR00202,2026-06-19,LLM,SUP006,SOFT003,9,93258.81,839329.29
PUR00203,2025-10-26,TGI,SUP003,FAN001,12,17613.95,211367.4
PUR00204,2026-05-23,TGI,SUP001,RAM002,10,90731.13,907311.3
PUR00205,2025-09-13,LLM,SUP007,LAP003,5,2854616.58,14273082.9
PUR00206,2025-09-09,LLM,SUP005,SW001,35,54676.16,1913665.6
PUR00207,2026-05-05,TGI,SUP007,LAP001,2,1829756.63,3659513.26
PUR00208,2025-11-04,TGI,SUP004,HDD001,7,85186.55,596305.85
PUR00209,2026-03-30,LLM,SUP007,LAP003,3,2960642.49,8881927.47
PUR00210,2026-06-14,TGI,SUP001,BAG001,29,6752.87,195833.23
PUR00211,2026-06-05,LLM,SUP005,SW001,15,53967.57,809513.55
PUR00212,2026-03-02,LLM,SUP001,RAM002,12,93482.63,1121791.56
PUR00213,2026-08-04,TGI,SUP003,FAN001,12,18465.21,221582.52
PUR00214,2026-08-14,TGI,SUP007,LAP003,1,2790297.87,2790297.87
PUR00215,2026-03-24,TGI,SUP001,MOUSE001,23,4971.0,114333.0
PUR00216,2026-02-02,TGI,SUP007,MON001,2,334903.61,669807.22
PUR00217,2025-12-31,LLM,SUP003,FAN001,14,18315.19,256412.66
PUR00218,2025-09-10,TGI,SUP001,BAG001,28,6449.29,180580.12
PUR00219,2025-12-29,TGI,SUP003,CAM001,37,12013.49,444499.13
PUR00220,2025-11-23,TGI,SUP005,ROUT001,20,44610.53,892210.6
PUR00221,2026-06-07,TGI,SUP004,PAD001,17,2585.82,43958.94
PUR00222,2026-07-27,TGI,SUP007,LAP003,4,2965253.64,11861014.56
PUR00223,2026-02-06,LLM,SUP004,LAN001,14,4771.09,66795.26
PUR00224,2026-01-21,TGI,SUP005,ROUT002,19,74094.01,1407786.19
PUR00225,2026-08-02,LLM,SUP003,PSU001,10,65695.12,656951.2
PUR00226,2025-11-19,TGI,SUP003,CAM001,23,11875.65,273139.95
PUR00227,2026-03-25,LLM,SUP002,SSD002,3,78930.98,236792.94
PUR00228,2025-11-24,TGI,SUP003,HUB001,27,6695.96,180790.92
PUR00229,2026-03-01,TGI,SUP005,SW001,27,55059.3,1486601.1
PUR00230,2025-11-26,TGI,SUP002,SSD002,7,76600.51,536203.57
PUR00231,2026-03-15,TGI,SUP001,MOUSE002,5,2942.04,14710.2
PUR00232,2026-07-12,LLM,SUP006,SOFT001,8,31766.05,254128.4
PUR00233,2026-03-23,LLM,SUP002,KB001,11,7269.97,79969.67
PUR00234,2026-05-10,LLM,SUP007,MON002,2,483166.83,966333.66
PUR00235,2026-04-19,TGI,SUP003,HEAD001,39,9293.69,362453.91
PUR00236,2026-05-16,LLM,SUP002,KB002,15,12526.66,187899.9
PUR00237,2025-12-26,TGI,SUP002,SSD001,11,55386.34,609249.74
PUR00238,2026-08-15,TGI,SUP004,PAD001,20,2409.68,48193.6
PUR00239,2025-12-01,TGI,SUP005,ROUT001,15,46993.16,704897.4
PUR00240,2025-09-21,TGI,SUP005,ROUT001,16,45078.07,721249.12
PUR00241,2025-11-24,LLM,SUP001,RAM001,8,58247.7,465981.6
PUR00242,2026-05-22,TGI,SUP007,MON002,5,496238.03,2481190.15
PUR00243,2025-11-12,LLM,SUP002,KB001,7,7198.05,50386.35
PUR00244,2026-07-11,TGI,SUP006,SOFT002,14,89136.69,1247913.66
PUR00245,2025-09-28,LLM,SUP007,MON002,1,533228.02,533228.02
PUR00246,2026-08-23,TGI,SUP002,SSD001,4,53141.0,212564.0
PUR00247,2025-09-22,LLM,SUP004,HDD001,5,90220.92,451104.6
PUR00248,2025-11-21,LLM,SUP006,SOFT003,19,89193.94,1694684.86
PUR00249,2026-02-17,LLM,SUP006,SOFT002,24,90869.75,2180874.0
PUR00250,2026-06-27,TGI,SUP001,BAG002,6,9816.82,58900.92
PUR00251,2026-07-30,TGI,SUP003,CAM001,26,11832.35,307641.1
PUR00252,2025-12-23,LLM,SUP003,PSU001,5,64024.65,320123.25
PUR00253,2025-09-16,TGI,SUP005,ROUT002,28,77042.83,2157199.24
PUR00254,2025-11-11,TGI,SUP001,RAM001,4,57329.52,229318.08
PUR00255,2025-10-04,LLM,SUP003,PSU001,12,63542.09,762505.08
PUR00256,2026-01-21,TGI,SUP002,SSD001,12,53246.01,638952.12
PUR00257,2025-10-14,TGI,SUP005,SW001,27,54093.12,1460514.24
PUR00258,2025-12-14,LLM,SUP003,CAM001,38,12377.86,470358.68
PUR00259,2026-03-24,LLM,SUP006,SOFT001,22,31217.34,686781.48
PUR00260,2026-07-16,LLM,SUP001,RAM001,9,54687.91,492191.19
PUR00261,2026-01-29,LLM,SUP006,SOFT003,22,89346.49,1965622.78
PUR00262,2026-05-31,LLM,SUP002,KB002,36,11678.49,420425.64
PUR00263,2026-04-20,LLM,SUP001,MOUSE002,19,3193.26,60671.94
PUR00264,2025-12-16,LLM,SUP003,PSU001,10,63333.08,633330.8
PUR00265,2026-06-22,LLM,SUP007,MON001,3,372649.62,1117948.86
PUR00266,2025-09-12,LLM,SUP004,PAD001,25,2674.01,66850.25
PUR00267,2026-04-22,LLM,SUP001,RAM001,4,59084.71,236338.84
PUR00268,2026-08-30,LLM,SUP003,FAN001,11,18785.06,206635.66
PUR00269,2025-12-17,TGI,SUP007,MON002,2,535344.22,1070688.44
PUR00270,2026-05-16,TGI,SUP002,SSD002,7,86323.31,604263.17
PUR00271,2026-04-30,TGI,SUP003,PSU001,6,67905.17,407431.02
PUR00272,2026-04-09,LLM,SUP005,SW001,30,52924.94,1587748.2
PUR00273,2026-07-09,LLM,SUP001,BAG001,38,6973.54,264994.52
PUR00274,2026-06-19,TGI,SUP007,DESK001,3,1294725.76,3884177.28
PUR00275,2026-02-14,LLM,SUP004,PAD001,30,2442.69,73280.7
PUR00276,2026-07-29,LLM,SUP005,ROUT002,14,79845.94,1117843.16
PUR00277,2026-07-29,LLM,SUP003,PSU001,9,69411.22,624700.98
PUR00278,2026-01-13,LLM,SUP001,BAG001,16,6282.21,100515.36
PUR00279,2026-06-02,TGI,SUP007,MON002,1,537592.27,537592.27
PUR00280,2026-07-24,LLM,SUP001,BAG002,17,10680.08,181561.36
PUR00281,2026-01-02,TGI,SUP002,SSD001,3,55844.9,167534.7
PUR00282,2025-09-18,TGI,SUP007,MON002,5,497174.71,2485873.55
PUR00283,2026-02-01,TGI,SUP007,LAP002,1,1463071.24,1463071.24
PUR00284,2026-01-30,TGI,SUP002,SSD001,8,56042.53,448340.24
PUR00285,2026-08-27,LLM,SUP003,PSU001,4,69759.45,279037.8
PUR00286,2026-03-03,LLM,SUP001,BAG001,24,6528.18,156676.32
PUR00287,2026-02-01,LLM,SUP002,SSD001,3,53917.29,161751.87
PUR00288,2026-02-10,LLM,SUP007,LAP002,1,1528014.28,1528014.28
PUR00289,2026-08-06,TGI,SUP007,LAP002,5,1481115.55,7405577.75
PUR00290,2025-11-05,TGI,SUP007,MON001,3,351059.19,1053177.57
PUR00291,2025-12-14,LLM,SUP005,ROUT001,26,46279.91,1203277.66
PUR00292,2026-07-04,LLM,SUP001,RAM001,14,59125.52,827757.28
PUR00293,2025-12-18,LLM,SUP005,ROUT001,26,45571.02,1184846.52
PUR00294,2026-06-17,TGI,SUP002,KB002,24,12827.01,307848.24
PUR00295,2026-07-10,TGI,SUP001,BAG001,40,6431.34,257253.6
PUR00296,2025-09-13,LLM,SUP001,RAM001,13,58947.13,766312.69
PUR00297,2025-10-15,TGI,SUP003,HEAD001,16,9694.09,155105.44
PUR00298,2026-01-17,TGI,SUP003,HEAD001,17,8607.74,146331.58
PUR00299,2025-09-28,TGI,SUP007,LAP002,3,1473435.53,4420306.59
PUR00300,2026-05-04,LLM,SUP004,LAN001,29,5292.72,153488.88
PUR00301,2026-08-20,TGI,SUP007,MON001,5,367387.96,1836939.8
PUR00302,2025-10-27,LLM,SUP006,SOFT003,19,85968.81,1633407.39
PUR00303,2025-12-19,TGI,SUP003,FAN001,3,17417.06,52251.18
PUR00304,2026-07-25,TGI,SUP001,BAG001,12,6540.41,78484.92
PUR00305,2025-11-07,TGI,SUP007,MON002,5,477837.96,2389189.8
PUR00306,2026-06-21,LLM,SUP005,ROUT001,32,43412.63,1389204.16
PUR00307,2025-12-18,LLM,SUP002,KB002,37,12135.79,449024.23
PUR00308,2026-08-17,LLM,SUP003,CAM001,13,12353.2,160591.6
PUR00309,2026-07-06,TGI,SUP003,CAM001,30,12826.66,384799.8
PUR00310,2025-09-27,TGI,SUP001,RAM002,4,92358.99,369435.96
PUR00311,2025-10-18,LLM,SUP005,SW001,14,56138.73,785942.22
PUR00312,2025-10-01,LLM,SUP004,LAN001,15,4958.43,74376.45
PUR00313,2025-11-01,LLM,SUP002,KB001,25,6736.05,168401.25
PUR00314,2026-05-15,TGI,SUP003,FAN001,11,17401.95,191421.45
PUR00315,2025-10-31,TGI,SUP007,LAP002,4,1509990.32,6039961.28
PUR00316,2025-12-03,TGI,SUP007,LAP003,1,2885522.83,2885522.83
PUR00317,2025-12-26,TGI,SUP002,SSD001,13,57070.44,741915.72
PUR00318,2026-08-30,LLM,SUP007,LAP002,4,1516787.98,6067151.92
PUR00319,2026-06-02,LLM,SUP001,MOUSE002,22,3186.94,70112.68
PUR00320,2025-11-06,LLM,SUP001,BAG002,7,9773.92,68417.44
PUR00321,2026-06-12,LLM,SUP001,RAM002,5,95248.12,476240.6
PUR00322,2025-10-31,LLM,SUP003,CAM001,7,11548.35,80838.45
PUR00323,2025-10-22,LLM,SUP001,BAG002,30,10385.9,311577.0
PUR00324,2025-10-09,LLM,SUP002,KB002,28,12719.71,356151.88
PUR00325,2026-03-18,LLM,SUP007,MON001,3,358557.07,1075671.21
PUR00326,2026-04-16,TGI,SUP004,LAN001,31,5356.15,166040.65
PUR00327,2026-08-02,TGI,SUP002,SSD001,11,57504.18,632545.98
PUR00328,2026-03-02,TGI,SUP007,LAP001,1,1880706.96,1880706.96
PUR00329,2025-10-03,TGI,SUP006,SOFT001,21,30506.83,640643.43
PUR00330,2025-12-09,TGI,SUP005,ROUT001,14,47845.16,669832.24
PUR00331,2026-03-26,TGI,SUP004,LAN001,14,5229.93,73219.02
PUR00332,2026-01-25,TGI,SUP001,MOUSE002,17,2993.03,50881.51
PUR00333,2026-07-13,LLM,SUP007,DESK001,2,1153661.63,2307323.26
PUR00334,2026-07-23,TGI,SUP002,KB001,26,7524.86,195646.36
PUR00335,2025-09-18,TGI,SUP002,KB002,10,11448.09,114480.9
PUR00336,2026-06-08,TGI,SUP001,BAG001,9,7008.47,63076.23
PUR00337,2026-07-30,LLM,SUP002,SSD001,5,53567.17,267835.85
PUR00338,2026-06-27,TGI,SUP007,LAP002,1,1434656.88,1434656.88
PUR00339,2026-04-21,LLM,SUP007,LAP002,1,1439473.95,1439473.95
PUR00340,2026-03-13,TGI,SUP007,MON001,1,350659.48,350659.48
PUR00341,2025-09-21,TGI,SUP002,SSD003,14,156071.27,2184997.78
PUR00342,2025-10-21,LLM,SUP005,SW001,14,58913.18,824784.52
PUR00343,2026-02-04,LLM,SUP003,HUB001,11,6789.91,74689.01
PUR00344,2026-07-26,TGI,SUP007,LAP002,2,1442597.34,2885194.68
PUR00345,2026-05-31,TGI,SUP004,PAD001,38,2643.52,100453.76
PUR00346,2025-10-31,TGI,SUP002,SSD002,11,77173.09,848903.99
PUR00347,2025-10-27,TGI,SUP002,SSD003,4,150678.77,602715.08
PUR00348,2025-11-26,LLM,SUP007,MON002,5,534373.91,2671869.55
PUR00349,2025-11-13,LLM,SUP007,DESK001,4,1268981.91,5075927.64
PUR00350,2026-07-07,TGI,SUP007,LAP002,2,1453423.3,2906846.6
PUR00351,2026-05-24,LLM,SUP006,SOFT003,11,85728.18,943009.98
